Symbols,Spot,Current,Next
360ONE,13061,49235,59188
ABB,13,49236,59189
ABCAPITAL,21614,49237,59190
ADANIENSOL,10217,49239,59193
ADANIENT,25,49240,59194
ADANIGREEN,3563,49241,59201
ADANIPORTS,15083,49242,59202
ALKEM,11703,49259,59203
AMBER,1185,49260,59204
AMBUJACEM,1270,49263,59205
ANGELONE,324,49265,59206
APLAPOLLO,25780,49266,59207
APOLLOHOSP,157,49267,59208
ASHOKLEY,212,49269,59209
ASIANPAINT,236,49270,59210
ASTRAL,14418,49277,59211
AUBANK,21238,49278,59213
AUROPHARMA,275,49279,59214
AXISBANK,5900,49282,59215
BAJAJ-AUTO,16669,49303,59216
BAJAJFINSV,16675,49304,59254
BAJFINANCE,317,49305,59255
BANDHANBNK,2263,49306,59256
BANKBARODA,4668,49307,59257
BANKINDIA,4745,49308,59258
BDL,2144,49310,59259
BEL,383,49312,59260
BHARATFORG,422,49317,59263
BHARTIARTL,10604,49318,59264
BHEL,438,49319,59267
BIOCON,11373,49320,59268
BLUESTARCO,8311,49323,59269
BOSCHLTD,2181,49324,59270
BPCL,526,49325,59275
BRITANNIA,547,49326,59276
BSE,19585,49327,59277
CAMS,,49328,59278
CANBK,10794,49329,59283
CDSL,21174,49330,59284
CGPOWER,760,49331,59287
CHOLAFIN,685,49332,59288
CIPLA,694,49335,59289
COALINDIA,20374,49336,59290
COFORGE,11543,49342,59291
COLPAL,15141,49343,59292
CONCOR,4749,49349,59293
CROMPTON,17094,49350,59294
CUMMINSIND,1901,49351,59301
DABUR,772,49352,59302
DALBHARAT,8075,49353,59303
DELHIVERY,9599,49354,59304
DIVISLAB,10940,49363,59305
DIXON,21690,49364,59306
DLF,14732,49370,59307
DMART,19913,49372,59308
DRREDDY,881,49374,59309
EICHERMOT,910,49375,59310
ETERNAL,5097,49383,59311
EXIDEIND,676,49384,59312
FEDERALBNK,1023,49391,59315
FORTIS,14592,49392,59316
GAIL,4717,49393,59321
GLENMARK,7406,49394,59322
GMRAIRPORT,13528,49395,59335
